"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|spawners|effective spawning output","mass","weight"
"71","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",372,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,16,0,13
"72","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",330,1,87,0,218,1,0,1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,15,1,19
"73","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",218,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,4,2,0,17,1,4
"74","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",336,0,223,0,176,1,0,0,6,0,0,0,0,0,25,0,0,0,0,3,0,0,11,0,8
"75","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",56,1,1,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,5,0,8
"76","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",228,0,1,2,223,37,6,0,0,0,1,0,0,1,0,0,0,15,0,29,0,0,187,0,0
"77","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",59,1,2,0,67,0,5,1,0,0,0,0,0,0,5,0,0,2,0,165,0,0,32,0,13
"78","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",197,4,1,0,47,3,5,0,0,0,0,0,0,4,0,0,13,4,0,95,0,0,32,0,7
"79","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",27,0,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"80","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",26,0,9,0,1,0,10,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13
"81","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",58,0,1,5,41,0,0,0,10,0,1,0,0,2,6,0,0,6,0,5,8,0,4,0,5
"82","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2020_ALB_ENG.pdf",101,0,6,0,189,0,1,0,1,0,0,0,0,0,6,3,4,6,0,0,0,0,19,0,33
"83","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2021_WBFT_SA_ENG.pdf",21,0,0,0,4,0,1,0,0,0,3,0,0,4,4,0,0,0,0,16,19,0,10,0,0
"84","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Atl_Blacknose_SAR.pdf",418,4,35,1,296,8,9,0,144,0,0,0,0,16,38,0,3,15,0,30,11,0,78,0,91
"85","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/B-8a-Gray_triggerfish_interim_9102020.pdf",24,0,6,0,0,0,3,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,10
"86","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Dusky_update_report_2016.pdf",21,0,0,5,5,0,0,0,12,0,0,0,0,5,6,0,0,3,0,0,2,0,11,1,10
"87","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/KGM_GOM_SA_08282020_final-revision_3.pdf",25,0,5,3,8,0,7,0,76,19,1,0,0,9,1,1,0,5,2,34,71,5,4,0,4
"88","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S23_SAR_complete_and_final.pdf",112,11,77,1,11,1,3,0,205,0,0,0,0,0,43,0,2,14,0,107,118,0,24,0,38
"89","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S28UpdateSAR_V2.pdf",24,0,18,1,26,0,0,0,98,1,6,0,0,5,6,2,0,4,0,55,75,2,26,0,21
"90","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S34_ATSH_SAR.pdf",175,3,23,1,51,3,1,0,38,0,0,0,0,27,109,0,2,6,0,3,2,0,28,0,54
"91","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S51_FINAL_SAR_0.pdf",102,4,11,0,44,4,9,1,309,0,4,0,0,14,25,3,1,10,10,54,77,3,65,0,65
"92","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S52_Final_SAR_v2.pdf",71,3,25,1,78,1,1,0,84,24,2,0,0,0,17,7,1,0,2,79,90,13,48,0,17
"93","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S57_Final_SAR.pdf",55,1,29,1,23,0,4,0,193,0,0,10,10,45,8,0,1,11,0,24,13,31,62,0,25
"94","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S64_SAR_FINAL.pdf",120,5,36,0,81,3,7,0,320,18,24,0,0,2,17,2,4,34,2,69,125,0,61,1,78
"95","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S67_Final_SAR.pdf",105,1,32,1,89,4,1,0,144,0,5,0,0,5,16,18,1,8,2,108,131,6,30,0,29
"96","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S72_SAR_FINAL.pdf",53,2,34,0,64,2,1,0,169,9,10,0,0,5,13,1,1,15,0,218,227,1,103,0,98
"97","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SA BSB 2018.pdf",29,2,18,0,9,0,13,2,145,0,0,1,1,6,37,0,2,3,0,76,50,0,10,0,65
"98","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR_60_SA_Red_Porgy_SAR_4.9.2020.pdf",33,3,33,2,6,1,10,1,193,0,0,2,2,15,42,0,3,6,0,106,101,0,23,0,55
"99","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR65_FullSAR_12.8.2020_V3.pdf",302,3,30,0,79,0,11,0,125,0,12,0,0,9,166,35,3,49,0,13,2,0,45,1,84
"100","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SMA_ASS_ENG.pdf",136,0,9,0,69,0,1,0,11,0,0,0,0,4,1,1,3,5,0,6,3,1,8,0,12
"101","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/agenda-item-d-3.pdf",52,0,32,0,6,0,10,0,53,0,8,0,0,0,1,27,1,14,2,44,47,0,37,0,15
"102","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SAC-11-07-MTG_Yellowfin tuna benchmark assessment 2019.pdf",81,0,5,0,18,3,34,0,0,10,6,0,0,4,2,0,1,4,0,46,0,0,51,1,8
